Language,Subject,Question,Color Response
English,1,1,1
English,1,2,1
English,1,3,1
English,1,4,1
English,1,5,1
English,1,6,1
English,1,7,1
English,1,8,1
English,1,9,1
English,1,10,1
English,1,11,1
English,1,12,1
English,1,13,1
English,1,14,1
English,1,15,1
English,1,16,1
English,1,17,1
English,1,18,1
English,1,19,1
English,1,20,1
English,2,1,0
English,2,2,0
English,2,3,0
English,2,4,0
English,2,5,0
English,2,6,0
English,2,7,0
English,2,8,0
English,2,9,0
English,2,10,0
English,2,11,0
English,2,12,0
English,2,13,0
English,2,14,0
English,2,15,0
English,2,16,0
English,2,17,0
English,2,18,0
English,2,19,0
English,2,20,0
English,3,1,1
English,3,2,1
English,3,3,1
English,3,4,1
English,3,5,1
English,3,6,1
English,3,7,1
English,3,8,1
English,3,9,1
English,3,10,1
English,3,11,1
English,3,12,1
English,3,13,1
English,3,14,1
English,3,15,1
English,3,16,1
English,3,17,1
English,3,18,1
English,3,19,1
English,3,20,1
English,4,1,1
English,4,2,0
English,4,3,0
English,4,4,0
English,4,5,0
English,4,6,0
English,4,7,0
English,4,8,0
English,4,9,0
English,4,10,0
English,4,11,0
English,4,12,0
English,4,13,1
English,4,14,1
English,4,15,1
English,4,16,1
English,4,17,1
English,4,18,1
English,4,19,1
English,4,20,1
English,5,1,0
English,5,2,0
English,5,3,0
English,5,4,0
English,5,5,0
English,5,6,0
English,5,7,0
English,5,8,0
English,5,9,0
English,5,10,0
English,5,11,0
English,5,12,1
English,5,13,1
English,5,14,1
English,5,15,1
English,5,16,1
English,5,17,1
English,5,18,1
English,5,19,1
English,5,20,1
English,6,1,0
English,6,2,0
English,6,3,0
English,6,4,0
English,6,5,0
English,6,6,0
English,6,7,0
English,6,8,0
English,6,9,0
English,6,10,0
English,6,11,0
English,6,12,0
English,6,13,1
English,6,14,1
English,6,15,1
English,6,16,0
English,6,17,1
English,6,18,1
English,6,19,1
English,6,20,1
English,7,1,1
English,7,2,1
English,7,3,1
English,7,4,1
English,7,5,1
English,7,6,1
English,7,7,1
English,7,8,1
English,7,9,1
English,7,10,1
English,7,11,1
English,7,12,1
English,7,13,1
English,7,14,1
English,7,15,1
English,7,16,1
English,7,17,1
English,7,18,1
English,7,19,1
English,7,20,1
English,8,1,0
English,8,2,0
English,8,3,0
English,8,4,0
English,8,5,0
English,8,6,0
English,8,7,0
English,8,8,0
English,8,9,0
English,8,10,0
English,8,11,1
English,8,12,1
English,8,13,1
English,8,14,1
English,8,15,1
English,8,16,1
English,8,17,1
English,8,18,1
English,8,19,1
English,8,20,1
English,9,1,0
English,9,2,0
English,9,3,0
English,9,4,0
English,9,5,0
English,9,6,0
English,9,7,0
English,9,8,0
English,9,9,0
English,9,10,0
English,9,11,1
English,9,12,1
English,9,13,1
English,9,14,1
English,9,15,1
English,9,16,1
English,9,17,1
English,9,18,1
English,9,19,1
English,9,20,1
English,10,1,0
English,10,2,0
English,10,3,0
English,10,4,0
English,10,5,0
English,10,6,0
English,10,7,0
English,10,8,0
English,10,9,0
English,10,10,0
English,10,11,0
English,10,12,0
English,10,13,0
English,10,14,1
English,10,15,1
English,10,16,1
English,10,17,1
English,10,18,1
English,10,19,1
English,10,20,1
English,11,1,0
English,11,2,0
English,11,3,0
English,11,4,0
English,11,5,0
English,11,6,1
English,11,7,0
English,11,8,0
English,11,9,0
English,11,10,0
English,11,11,1
English,11,12,1
English,11,13,1
English,11,14,1
English,11,15,1
English,11,16,1
English,11,17,1
English,11,18,1
English,11,19,1
English,11,20,1
English,12,1,1
English,12,2,1
English,12,3,1
English,12,4,1
English,12,5,1
English,12,6,1
English,12,7,1
English,12,8,1
English,12,9,1
English,12,10,1
English,12,11,1
English,12,12,1
English,12,13,1
English,12,14,1
English,12,15,1
English,12,16,1
English,12,17,1
English,12,18,1
English,12,19,1
English,12,20,1
English,13,1,0
English,13,2,0
English,13,3,0
English,13,4,0
English,13,5,0
English,13,6,0
English,13,7,0
English,13,8,0
English,13,9,0
English,13,10,0
English,13,11,1
English,13,12,0
English,13,13,0
English,13,14,1
English,13,15,1
English,13,16,1
English,13,17,0
English,13,18,1
English,13,19,1
English,13,20,1
English,14,1,1
English,14,2,1
English,14,3,1
English,14,4,1
English,14,5,1
English,14,6,1
English,14,7,1
English,14,8,1
English,14,9,1
English,14,10,1
English,14,11,1
English,14,12,1
English,14,13,1
English,14,14,1
English,14,15,1
English,14,16,1
English,14,17,1
English,14,18,1
English,14,19,1
English,14,20,1
English,15,1,0
English,15,2,0
English,15,3,0
English,15,4,0
English,15,5,0
English,15,6,0
English,15,7,0
English,15,8,0
English,15,9,0
English,15,10,0
English,15,11,0
English,15,12,0
English,15,13,0
English,15,14,0
English,15,15,0
English,15,16,0
English,15,17,0
English,15,18,0
English,15,19,0
English,15,20,0
English,16,1,0
English,16,2,0
English,16,3,0
English,16,4,0
English,16,5,0
English,16,6,0
English,16,7,0
English,16,8,0
English,16,9,0
English,16,10,0
English,16,11,0
English,16,12,1
English,16,13,1
English,16,14,1
English,16,15,1
English,16,16,1
English,16,17,1
English,16,18,1
English,16,19,1
English,16,20,1
English,17,1,1
English,17,2,1
English,17,3,1
English,17,4,1
English,17,5,1
English,17,6,1
English,17,7,1
English,17,8,1
English,17,9,1
English,17,10,1
English,17,11,1
English,17,12,1
English,17,13,1
English,17,14,1
English,17,15,1
English,17,16,1
English,17,17,1
English,17,18,1
English,17,19,1
English,17,20,1
English,18,1,1
English,18,2,1
English,18,3,1
English,18,4,1
English,18,5,1
English,18,6,1
English,18,7,1
English,18,8,1
English,18,9,1
English,18,10,1
English,18,11,1
English,18,12,1
English,18,13,1
English,18,14,1
English,18,15,1
English,18,16,1
English,18,17,1
English,18,18,1
English,18,19,1
English,18,20,1
English,19,1,1
English,19,2,1
English,19,3,1
English,19,4,1
English,19,5,1
English,19,6,1
English,19,7,1
English,19,8,1
English,19,9,1
English,19,10,1
English,19,11,1
English,19,12,1
English,19,13,1
English,19,14,1
English,19,15,1
English,19,16,1
English,19,17,1
English,19,18,1
English,19,19,1
English,19,20,1
English,20,1,0
English,20,2,0
English,20,3,0
English,20,4,0
English,20,5,0
English,20,6,0
English,20,7,0
English,20,8,0
English,20,9,0
English,20,10,0
English,20,11,0
English,20,12,0
English,20,13,0
English,20,14,0
English,20,15,0
English,20,16,0
English,20,17,0
English,20,18,0
English,20,19,0
English,20,20,0
English,21,1,0
English,21,2,0
English,21,3,0
English,21,4,0
English,21,5,0
English,21,6,0
English,21,7,0
English,21,8,0
English,21,9,0
English,21,10,0
English,21,11,1
English,21,12,1
English,21,13,1
English,21,14,1
English,21,15,1
English,21,16,1
English,21,17,1
English,21,18,1
English,21,19,1
English,21,20,1
English,22,1,0
English,22,2,0
English,22,3,0
English,22,4,0
English,22,5,0
English,22,6,0
English,22,7,0
English,22,8,0
English,22,9,0
English,22,10,0
English,22,11,1
English,22,12,1
English,22,13,1
English,22,14,1
English,22,15,1
English,22,16,1
English,22,17,1
English,22,18,1
English,22,19,1
English,22,20,1
Spanish,1,1,0
Spanish,1,2,0
Spanish,1,3,0
Spanish,1,4,0
Spanish,1,5,0
Spanish,1,6,0
Spanish,1,7,0
Spanish,1,8,0
Spanish,1,9,0
Spanish,1,10,0
Spanish,1,11,0
Spanish,1,12,0
Spanish,1,13,0
Spanish,1,14,0
Spanish,1,15,1
Spanish,1,16,0
Spanish,1,17,0
Spanish,1,18,1
Spanish,1,19,1
Spanish,1,20,1
Spanish,2,1,0
Spanish,2,2,0
Spanish,2,3,0
Spanish,2,4,0
Spanish,2,5,0
Spanish,2,6,0
Spanish,2,7,0
Spanish,2,8,0
Spanish,2,9,0
Spanish,2,10,0
Spanish,2,11,0
Spanish,2,12,0
Spanish,2,13,0
Spanish,2,14,0
Spanish,2,15,0
Spanish,2,16,0
Spanish,2,17,0
Spanish,2,18,0
Spanish,2,19,0
Spanish,2,20,1
Spanish,3,1,0
Spanish,3,2,0
Spanish,3,3,0
Spanish,3,4,0
Spanish,3,5,0
Spanish,3,6,0
Spanish,3,7,0
Spanish,3,8,0
Spanish,3,9,0
Spanish,3,10,0
Spanish,3,11,0
Spanish,3,12,0
Spanish,3,13,0
Spanish,3,14,1
Spanish,3,15,1
Spanish,3,16,1
Spanish,3,17,1
Spanish,3,18,1
Spanish,3,19,1
Spanish,3,20,1
Spanish,4,1,0
Spanish,4,2,1
Spanish,4,3,1
Spanish,4,4,1
Spanish,4,5,0
Spanish,4,6,0
Spanish,4,7,0
Spanish,4,8,0
Spanish,4,9,0
Spanish,4,10,0
Spanish,4,11,1
Spanish,4,12,1
Spanish,4,13,1
Spanish,4,14,1
Spanish,4,15,1
Spanish,4,16,1
Spanish,4,17,1
Spanish,4,18,1
Spanish,4,19,1
Spanish,4,20,1
Spanish,5,1,0
Spanish,5,2,0
Spanish,5,3,0
Spanish,5,4,0
Spanish,5,5,0
Spanish,5,6,0
Spanish,5,7,0
Spanish,5,8,0
Spanish,5,9,0
Spanish,5,10,0
Spanish,5,11,1
Spanish,5,12,1
Spanish,5,13,1
Spanish,5,14,1
Spanish,5,15,1
Spanish,5,16,1
Spanish,5,17,1
Spanish,5,18,1
Spanish,5,19,1
Spanish,5,20,1
Spanish,6,1,0
Spanish,6,2,0
Spanish,6,3,0
Spanish,6,4,0
Spanish,6,5,0
Spanish,6,6,0
Spanish,6,7,0
Spanish,6,8,0
Spanish,6,9,0
Spanish,6,10,0
Spanish,6,11,0
Spanish,6,12,1
Spanish,6,13,1
Spanish,6,14,1
Spanish,6,15,1
Spanish,6,16,1
Spanish,6,17,1
Spanish,6,18,1
Spanish,6,19,1
Spanish,6,20,1
Spanish,7,1,0
Spanish,7,2,0
Spanish,7,3,0
Spanish,7,4,0
Spanish,7,5,0
Spanish,7,6,1
Spanish,7,7,0
Spanish,7,8,0
Spanish,7,9,0
Spanish,7,10,0
Spanish,7,11,1
Spanish,7,12,1
Spanish,7,13,1
Spanish,7,14,1
Spanish,7,15,1
Spanish,7,16,0
Spanish,7,17,1
Spanish,7,18,1
Spanish,7,19,1
Spanish,7,20,1
Spanish,8,1,0
Spanish,8,2,0
Spanish,8,3,0
Spanish,8,4,0
Spanish,8,5,0
Spanish,8,6,1
Spanish,8,7,0
Spanish,8,8,0
Spanish,8,9,0
Spanish,8,10,0
Spanish,8,11,0
Spanish,8,12,1
Spanish,8,13,1
Spanish,8,14,1
Spanish,8,15,1
Spanish,8,16,0
Spanish,8,17,1
Spanish,8,18,1
Spanish,8,19,1
Spanish,8,20,1
Spanish,9,1,0
Spanish,9,2,0
Spanish,9,3,0
Spanish,9,4,0
Spanish,9,5,0
Spanish,9,6,0
Spanish,9,7,0
Spanish,9,8,0
Spanish,9,9,0
Spanish,9,10,0
Spanish,9,11,1
Spanish,9,12,1
Spanish,9,13,1
Spanish,9,14,1
Spanish,9,15,1
Spanish,9,16,1
Spanish,9,17,1
Spanish,9,18,1
Spanish,9,19,0
Spanish,9,20,1
Spanish,10,1,0
Spanish,10,2,0
Spanish,10,3,0
Spanish,10,4,0
Spanish,10,5,0
Spanish,10,6,0
Spanish,10,7,0
Spanish,10,8,0
Spanish,10,9,0
Spanish,10,10,0
Spanish,10,11,0
Spanish,10,12,1
Spanish,10,13,1
Spanish,10,14,1
Spanish,10,15,1
Spanish,10,16,1
Spanish,10,17,1
Spanish,10,18,1
Spanish,10,19,1
Spanish,10,20,1
Spanish,11,1,0
Spanish,11,2,0
Spanish,11,3,0
Spanish,11,4,0
Spanish,11,5,0
Spanish,11,6,0
Spanish,11,7,0
Spanish,11,8,0
Spanish,11,9,0
Spanish,11,10,0
Spanish,11,11,0
Spanish,11,12,0
Spanish,11,13,0
Spanish,11,14,0
Spanish,11,15,0
Spanish,11,16,0
Spanish,11,17,0
Spanish,11,18,0
Spanish,11,19,0
Spanish,11,20,0
Spanish,12,1,0
Spanish,12,2,0
Spanish,12,3,1
Spanish,12,4,0
Spanish,12,5,0
Spanish,12,6,0
Spanish,12,7,0
Spanish,12,8,0
Spanish,12,9,0
Spanish,12,10,0
Spanish,12,11,0
Spanish,12,12,1
Spanish,12,13,1
Spanish,12,14,1
Spanish,12,15,1
Spanish,12,16,1
Spanish,12,17,1
Spanish,12,18,1
Spanish,12,19,1
Spanish,12,20,1
Spanish,13,1,0
Spanish,13,2,0
Spanish,13,3,0
Spanish,13,4,0
Spanish,13,5,0
Spanish,13,6,0
Spanish,13,7,0
Spanish,13,8,0
Spanish,13,9,0
Spanish,13,10,0
Spanish,13,11,0
Spanish,13,12,0
Spanish,13,13,0
Spanish,13,14,0
Spanish,13,15,0
Spanish,13,16,0
Spanish,13,17,0
Spanish,13,18,0
Spanish,13,19,0
Spanish,13,20,0
Spanish,14,1,0
Spanish,14,2,0
Spanish,14,3,0
Spanish,14,4,0
Spanish,14,5,0
Spanish,14,6,0
Spanish,14,7,0
Spanish,14,8,0
Spanish,14,9,0
Spanish,14,10,0
Spanish,14,11,1
Spanish,14,12,1
Spanish,14,13,1
Spanish,14,14,1
Spanish,14,15,1
Spanish,14,16,1
Spanish,14,17,1
Spanish,14,18,1
Spanish,14,19,1
Spanish,14,20,1
Spanish,15,1,0
Spanish,15,2,0
Spanish,15,3,0
Spanish,15,4,0
Spanish,15,5,0
Spanish,15,6,0
Spanish,15,7,0
Spanish,15,8,0
Spanish,15,9,0
Spanish,15,10,0
Spanish,15,11,0
Spanish,15,12,0
Spanish,15,13,0
Spanish,15,14,0
Spanish,15,15,1
Spanish,15,16,0
Spanish,15,17,0
Spanish,15,18,0
Spanish,15,19,1
Spanish,15,20,0
Spanish,16,1,0
Spanish,16,2,0
Spanish,16,3,0
Spanish,16,4,0
Spanish,16,5,0
Spanish,16,6,0
Spanish,16,7,0
Spanish,16,8,0
Spanish,16,9,0
Spanish,16,10,0
Spanish,16,11,0
Spanish,16,12,1
Spanish,16,13,1
Spanish,16,14,1
Spanish,16,15,1
Spanish,16,16,0
Spanish,16,17,0
Spanish,16,18,1
Spanish,16,19,1
Spanish,16,20,1
Spanish,17,1,0
Spanish,17,2,0
Spanish,17,3,0
Spanish,17,4,0
Spanish,17,5,0
Spanish,17,6,0
Spanish,17,7,0
Spanish,17,8,0
Spanish,17,9,0
Spanish,17,10,0
Spanish,17,11,0
Spanish,17,12,0
Spanish,17,13,0
Spanish,17,14,0
Spanish,17,15,0
Spanish,17,16,0
Spanish,17,17,0
Spanish,17,18,0
Spanish,17,19,0
Spanish,17,20,0
Spanish,18,1,0
Spanish,18,2,0
Spanish,18,3,0
Spanish,18,4,0
Spanish,18,5,0
Spanish,18,6,0
Spanish,18,7,0
Spanish,18,8,0
Spanish,18,9,0
Spanish,18,10,0
Spanish,18,11,0
Spanish,18,12,1
Spanish,18,13,1
Spanish,18,14,1
Spanish,18,15,1
Spanish,18,16,0
Spanish,18,17,0
Spanish,18,18,0
Spanish,18,19,0
Spanish,18,20,0
Spanish,19,1,0
Spanish,19,2,0
Spanish,19,3,0
Spanish,19,4,0
Spanish,19,5,0
Spanish,19,6,0
Spanish,19,7,0
Spanish,19,8,0
Spanish,19,9,0
Spanish,19,10,0
Spanish,19,11,1
Spanish,19,12,1
Spanish,19,13,1
Spanish,19,14,1
Spanish,19,15,1
Spanish,19,16,1
Spanish,19,17,1
Spanish,19,18,1
Spanish,19,19,1
Spanish,19,20,1
Spanish,20,1,0
Spanish,20,2,0
Spanish,20,3,0
Spanish,20,4,0
Spanish,20,5,0
Spanish,20,6,0
Spanish,20,7,0
Spanish,20,8,0
Spanish,20,9,0
Spanish,20,10,0
Spanish,20,11,1
Spanish,20,12,1
Spanish,20,13,1
Spanish,20,14,1
Spanish,20,15,1
Spanish,20,16,1
Spanish,20,17,1
Spanish,20,18,1
Spanish,20,19,1
Spanish,20,20,1
Spanish,21,1,0
Spanish,21,2,0
Spanish,21,3,0
Spanish,21,4,0
Spanish,21,5,0
Spanish,21,6,0
Spanish,21,7,0
Spanish,21,8,0
Spanish,21,9,0
Spanish,21,10,0
Spanish,21,11,0
Spanish,21,12,1
Spanish,21,13,1
Spanish,21,14,1
Spanish,21,15,1
Spanish,21,16,1
Spanish,21,17,0
Spanish,21,18,1
Spanish,21,19,1
Spanish,21,20,0
Spanish,22,1,0
Spanish,22,2,0
Spanish,22,3,0
Spanish,22,4,0
Spanish,22,5,0
Spanish,22,6,0
Spanish,22,7,0
Spanish,22,8,0
Spanish,22,9,0
Spanish,22,10,0
Spanish,22,11,0
Spanish,22,12,0
Spanish,22,13,0
Spanish,22,14,0
Spanish,22,15,0
Spanish,22,16,0
Spanish,22,17,0
Spanish,22,18,0
Spanish,22,19,0
Spanish,22,20,0