country,meat,life_0,life_5,mortality,calories,gdp,pop,obese,cho_crops,education
Afghanistan,12.67,62.25,62.72,80.33,2099,1660.74,25.07,4.9,197.31,
Albania,60.69,77.66,73.95,11.23,3169.67,10207.7,53.25,20.5,236.77,94.35
Algeria,20.65,75.27,72.74,26.23,3261.67,12990.35,68.21,26,310.84,32.9
Angola,34.28,60.19,61.84,105.3,2421.33,5911.25,40.9,7.5,364.91,
Antigua and Barbuda,82.78,75.81,71.68,9,2359.67,18605.32,25.67,18,131.23,
Argentina,106.28,76.01,72.24,13.3,3195.67,19629.35,91.13,27.3,213.93,91.49
Armenia,44.29,73.99,70.19,16.73,2866,7022.1,63.37,19.2,218.91,99.27
Australia,118.23,82.3,77.68,4.3,3256.67,41782.28,88.88,27.9,190.75,99.79
Austria,89.97,80.99,76.31,4.07,3747.33,44452.73,65.86,19.2,216.12,
Azerbaijan,31.02,71.57,69.21,32.67,3070.67,15754.15,53.62,18.8,326.43,97.84
Bahamas,107.29,75.15,71.15,14.9,2636.33,22674.73,82.61,30.5,128.55,95.28
Bangladesh,4.11,71.25,69.28,43.83,2438,2570.85,31.23,3.2,245.79,47.93
Barbados,68.34,75.37,71.2,14.7,2913.67,16472.08,31.91,22,209.73,
Belarus,88.34,72.15,67.48,4.8,3350,17166.7,75.05,23.7,343.31,
Belgium,69.64,80.52,75.87,4.3,3722.67,41248.73,97.69,21.4,267.29,92.65
Belize,49.87,69.76,65.93,17.63,2749,7855.7,44.72,23,178.58,99.79
Benin,24.84,59.93,61.89,106.3,2609,1820.89,42.26,8.9,400.54,
Bermuda,108.94,,,,2656.33,54984.51,100,,129.98,
Bolivia (Plurinational State of),67.17,67.72,67.91,36.73,2237.33,5598.51,66.86,19.3,229.38,59.2
Bosnia and Herzegovina,33.71,76.3,71.99,6.7,3112.67,9901.54,39.29,17.1,269.39,
Botswana,29.34,62.91,60.81,37.27,2313.67,13889.27,56.47,18.2,200.73,73.1
Brazil,94.69,74.66,71.06,17.3,3265.67,14973.1,84.62,21.1,217.3,78.38
Brunei Darussalam,85.04,76.71,72.31,10,2965.33,82434.88,75.87,13.1,206.65,69.16
Bulgaria,55.65,74.25,69.99,9.83,2791.67,15676.05,72.64,24.1,207.37,
Burkina Faso,14.69,58.71,60.09,112.57,2697,1472.72,26.51,5,236.48,
Cabo Verde,34.92,72.15,69.1,23.87,2588.33,771.51,10.91,11,202.04,49.47
Cambodia,13.88,67.61,65.04,37.87,2445,5991.78,62.62,3.5,223.92,16.2
Cameroon,13.55,56.39,57.85,101.6,2622,2658.71,19.97,10.6,282.26,26.41
Canada,91.7,81.77,77.22,5.5,3484.33,2969.05,52.1,28.3,240.39,
Central African Republic,34.89,49.4,52.93,135.8,2049.67,41565.27,81.12,6.9,321.5,
Chad,12.26,51.67,55.39,140.67,2098.67,911.66,39.03,5.6,226.52,
Chile,82.34,78.82,74.53,8.4,2964.33,1863.85,22.05,27,254.62,84.21
China,59.99,,71.7,13.53,3095.33,20437.7,88.79,5.5,168.81,
"China, Hong Kong SAR",154.86,83.4,78.62,,3276.67,10384.37,50.57,,159.76,92.7
"China, Macao SAR",115.6,83.29,78.63,,2896.33,50085.96,100,,227.24,86.41
"China, mainland",59.17,75.67,,40.6,3096.33,116752.21,100,,147.99,
"China, Taiwan Province of",78.05,79.25,74.66,,2969.33,,,,220.86,
Colombia,48.51,73.74,70.63,17.23,2750.67,11496.48,75.32,21.4,345.35,75.54
Congo,30.34,62.55,61.99,107.33,2183.67,5213.95,63.67,8.9,182.85,45.66
Costa Rica,49.25,79.16,75.06,9.9,2860,13397.23,72.87,24.3,423.99,80.49
Côte d'Ivoire,14.58,51.7,52.39,100.1,2787.67,2511.42,51.31,9.4,208.45,27.82
Croatia,65.18,77.05,72.44,5.2,3017,20704.31,57.8,23.4,295.52,95.44
Cuba,51.13,79.16,74.71,5.97,3346.67,,76.69,23.6,153.83,90.32
Cyprus,78.64,79.93,75.31,3.17,2657.33,33192.38,67.41,21.1,232.73,92.15
Czechia,76.27,78.17,73.41,3.2,3250,28797.42,73.19,25.2,215.35,99.88
Democratic People's Republic of Korea,13.95,70.79,67.55,25.8,2099.67,,60.32,6.3,249.75,
Denmark,77.84,80.14,75.48,4.1,3348.67,44403.39,86.96,18.9,214.35,
Djibouti,17.95,61.62,62.13,71.83,2552,2705.41,77.05,12.9,268.52,
Dominica,55.19,,,26.93,2947.33,10135.27,68.39,26.8,148.94,
Dominican Republic,47.11,73.19,70.34,33.23,2583,11320.9,74.93,26.1,138.38,65.71
Ecuador,53.95,75.54,72.5,16.77,2355.67,9926.9,62.89,19,322.81,78.1
Egypt,29.15,70.84,67.58,26.4,3544,9823.82,43,30.6,195.13,
El Salvador,28.84,72.63,69.09,17.47,2557.67,7428.03,64.79,23.4,270.46,53.26
Estonia,63.29,76.76,72.09,3.9,3258,24543.07,67.97,20.7,230.45,
Ethiopia,7.4,63.69,63.27,73.5,2119.33,1162.78,17.74,4,301.68,14.21
Fiji,45.58,69.72,66.13,23.63,2932.33,7488.83,52.21,28.9,210.81,
Finland,76.77,80.69,75.93,2.73,3332,40683.53,83.69,21.4,219.31,
France,88.51,81.89,77.22,4.17,3485.33,37457.28,78.58,20.8,189.26,97.76
French Polynesia,101.74,76.14,71.72,,2930.33,,56.35,,302.34,
Gabon,68.04,64.46,63.35,56.9,2799,15893.52,86.05,14.3,219.27,
Gambia,7.62,60.31,60.14,67.37,2657.33,1524.76,57.01,9.5,289.42,
Georgia,27.48,72.75,68.7,12.17,2849.67,7315.09,53.02,20.5,225.19,98.65
Germany,86.76,80.45,75.77,4.03,3512.67,42692.52,74.49,21.5,507.06,100
Ghana,17.06,61.68,61.12,62.83,3020.33,3404.46,51.39,10.1,231.8,57.01
Greece,76.62,80.62,75.94,4.03,3410.33,26141.32,76.65,24,145.42,91.77
Grenada,60.33,73.17,69.13,15.53,2437,11220.83,35.63,20.2,191.98,
Guatemala,27.4,72.44,69.86,31.93,2440,6844.5,49.77,20,270.2,46.16
Guinea,10.05,57.93,59.41,113.43,2557.67,1625.57,35.3,7,211.33,9.12
Guinea-Bissau,16.58,56,59.52,102.83,2319.67,1475.39,46.08,8.7,215.92,
Guyana,42.46,66.26,64.06,35.73,2709.67,6130.84,28.27,19,209.42,
Haiti,18.26,62.29,62.43,75.9,2090.67,1562.28,53.46,21,190.18,
Honduras,33.88,72.88,70.89,21.53,2631.33,4046.08,52.32,20.1,199.54,58.02
Hungary,70.31,75.4,70.82,5.73,3036.67,22841.21,69.35,25.4,173.97,99.51
Iceland,90.06,82.19,77.37,2.47,3374.67,39465.85,93.73,21.1,202.65,
India,3.98,67.58,66.28,52.07,2449.67,4635.88,31.28,3.5,270.73,40.33
Indonesia,13.13,68.6,65.72,31.33,2753,8837.82,50.71,6.1,265.28,73.43
Iran (Islamic Republic of),33.76,75.06,71.37,18.03,3069.67,18192.11,71.2,24.6,213.48,
Iraq,18.87,69.19,66.86,32.53,2522,13261.6,69.1,29.2,266.8,74.44
Ireland,82.6,80.85,76.18,4,3599.33,45179.83,62.11,24,214.62,
Israel,97.5,81.91,77.25,4.27,3586.33,30558.39,91.89,25.5,226.69,93.89
Italy,85.73,82.34,77.64,3.8,3576.33,36347.34,68.44,19.3,231.37,92.67
Jamaica,62.26,75.45,71.81,17.17,2756,8099.16,53.93,23.5,170.72,99.35
Japan,49.33,83.27,78.53,3.03,2726,35774.7,91.25,3.9,236.29,99.54
Jordan,45.51,73.81,70.29,19.13,3126.67,9214.21,82.72,34.3,252.39,79.65
Kazakhstan,68.81,69.07,65.28,16.4,3219.33,21277.71,53.58,20,231.3,99.93
Kenya,14.91,65.4,64.18,54.47,2189.33,2556.87,23.97,6.5,264.55,47.13
Kiribati,31.44,65.68,64.86,61.87,3040.67,1706.48,43.86,44.7,245.53,
Kuwait,84.62,74.29,70.08,9.63,3469.67,77459.54,98.28,36.8,294.34,64.28
Kyrgyzstan,34.66,70.27,66.92,26.17,2788,2920.6,35.34,15.5,226.31,
Lao People's Democratic Republic,20.57,65.4,64.6,61.83,2410.67,4244.46,34.25,4.7,277.59,
Latvia,64.54,73.92,69.49,6.63,3143.33,19773.24,67.62,23,230.19,100
Lebanon,41.9,78.93,74.78,9.4,3094.33,15693.69,87.3,30.8,299.71,
Lesotho,22.67,52.5,52.02,95.5,2542,2500.01,25.25,15.7,250.88,
Liberia,15.91,60.7,60.88,95.83,2219.33,734.33,48.17,9.2,294.38,
Lithuania,74.68,73.99,69.39,5.27,3405.33,22854.21,66.67,25.6,231.76,98.34
Luxembourg,98.14,81.15,76.47,2.93,3537,92005.02,88.91,21.7,295.68,
Madagascar,14.44,64.51,63.17,63.8,2065,1367.54,32.56,4.8,363.24,
Malawi,9.72,60.71,61.31,71.23,2349.33,1051.19,15.66,5.3,207.42,
Malaysia,54.79,74.74,70.34,8,2902,21818.88,71.74,14.3,188.54,89.95
Maldives,26.74,76.31,72.11,12.23,2731.33,12602.2,41.16,7.6,259.87,
Mali,23.43,56.23,59.12,121.1,2860.67,1874.7,36.79,7.9,268.18,11.73
Malta,84.54,80.28,75.77,6.87,3377.67,28609.76,94.83,28.2,212.51,98.05
Mauritania,29.52,62.64,63.94,90.87,2851.67,3371.99,57.35,11.8,218.53,
Mauritius,53.27,74.15,70.19,14.87,3045.67,16561.77,40.37,10.2,224.94,63.35
Mexico,61.49,76.48,73.29,17.9,3049.67,15922.9,78.12,27.8,202.11,77.91
Mongolia,78.1,68.47,65.43,25.77,2483.67,8881.48,68.54,19.2,292.7,95.58
Montenegro,82.21,76.39,71.93,5.2,3448.67,14472.39,63.27,22.4,340.78,95.97
Morocco,34.57,74.86,72.39,29.03,3372.67,6688.4,58.19,24.7,379.89,
Mozambique,8.31,56.08,57.42,96.33,2280,954.8,31.18,6.7,180.47,26.19
Myanmar,39.29,66.01,64.99,58.23,2555.67,3898.41,31.94,5.1,262.89,
Namibia,28.78,61.75,59.65,50.9,2135.33,8721.26,42.64,16.1,280.28,
Nepal,12.09,68.9,66.77,42.03,2647.33,2031.09,17.17,3.7,228.78,27.6
Netherlands,84.25,81.31,76.65,4.2,3221.67,46066.65,87.84,19.5,184.09,98.26
New Caledonia,80.49,76.26,72.42,,2848.67,,67.9,,212.92,
New Zealand,109.5,81.32,76.76,5.9,3133.67,32734.54,86.18,29.6,204.78,
Nicaragua,23.7,74.47,71.25,22,2580.33,4231.5,57.54,22.5,227.92,
Niger,16.92,58.53,61.31,108.77,2549.33,801.6,17.77,5,396.52,8.9
Nigeria,9.32,51.88,53.95,131.73,2690.33,5259.3,44.36,8.1,217.17,
Norway,68.37,81.61,76.85,3,3490.67,62145.03,79.39,22.2,196.8,99.73
Oman,61.08,76.22,72.07,11.43,3111.67,42121.26,75.69,25.6,186.94,72.23
Pakistan,15.95,65.86,67.05,82.83,2433.33,4309.76,37.01,7.8,188.93,34.92
Panama,65.93,77.32,73.86,18.7,2694,16939.88,65.41,21.6,255.5,82.49
Paraguay,52.14,72.74,70.38,24.4,2598,7504.65,58.71,19.2,275.77,73.1
Peru,21.89,74.16,71.39,18.03,2671.33,10449.09,77.27,18.9,215.32,74.33
Philippines,34.78,68.61,65.64,30.97,2575.33,5707.2,45.02,5.9,305.63,84.95
Poland,75.91,76.99,72.4,5.43,3445.67,22850.64,60.78,22.3,230.67,98.29
Portugal,88.97,80.5,75.8,3.67,3475.67,26780.21,61.17,19.9,205.23,86.53
Republic of Korea,63.15,81.27,76.57,3.83,3337.67,31228.51,82.04,4.4,228.09,92.02
Republic of Moldova,38.71,70.97,67.15,16.5,2709,4179.21,44.86,18.2,305.38,98.93
Romania,52.07,74.84,70.63,11.23,3346,18094.96,53.96,21.6,310.4,98.1
Russian Federation,71.28,70.3,66.02,9.8,3352.67,24074.36,73.73,22.5,338.58,99.21
Rwanda,7.9,65.17,64.52,52.23,2237,1421.19,24.92,5.3,165.85,28.12
Saint Kitts and Nevis,79.09,,,17.37,2479.67,21689.3,31.82,21.6,177.66,
Saint Lucia,98.54,74.81,70.92,20,2585.67,12112.4,18.45,18.5,225.97,
Saint Vincent and the Grenadines,95.5,72.74,69.27,18.6,2946,9871.65,49.14,22.4,233.39,91.25
Samoa,100.04,74.09,70.7,17.97,2935,5667.49,19.86,46,169.36,99.13
Sao Tome and Principe,16.54,66.14,65.53,40.2,2356.33,2695.63,62.6,11.6,202.65,82.05
Saudi Arabia,60.05,74,70.13,10.4,3209,48524.63,82.3,34.1,205.88,74.98
Senegal,15.23,65.71,64.52,60.13,2442.33,2158.18,42.5,8.2,205.58,17.12
Serbia,51.52,74.65,70.52,7.13,2726,12967.83,55.26,20.7,270.96,92.82
Sierra Leone,10.37,50.19,52.82,146.43,2371,1246.25,38.56,8,233.57,
Slovakia,55.17,76.31,71.82,6.63,2928.67,25835,54.41,19.8,225.8,99.8
Slovenia,77.04,80.31,75.57,2.93,3164.33,28804.7,49.95,19.5,430.04,99.53
Solomon Islands,14.36,69.6,67.21,24.43,2434.33,1969.21,20.51,21.2,248.89,
South Africa,61.54,59.49,57.37,41.63,3012.67,12243.88,62.75,27.2,198.58,79.1
Spain,95.16,82.51,77.81,3.6,3179.67,32068.27,78.67,23.1,197.83,88.17
Sri Lanka,6.42,74.63,70.36,10.6,2514,9213.32,18.31,4.6,160.01,
Sudan,26.07,63.59,63.6,71.5,2327.67,3631.66,33.19,5.8,201.53,
Suriname,56.2,70.9,67.57,21.9,2730.33,14887.94,66.28,25.4,224.77,88.14
Swaziland,23.72,54.99,54.42,72,2301.67,7324,21.43,15.7,199.51,
Sweden,80.51,81.89,77.13,2.97,3168.67,43755.06,85.21,19.8,204.49,100
Switzerland,73.03,82.69,78.06,4.43,3421.33,56183.83,73.7,18.7,200.27,
Tajikistan,27.41,70.37,68.96,40.6,2136.33,2211.75,26.53,13.2,198.91,
Thailand,28.47,74.56,70.54,12.4,2776,13535.13,45.39,8.9,229.56,59.17
The former Yugoslav Republic of Macedonia,37.23,75.15,70.91,31.9,2930,11611.75,56.96,21.6,230.09,
Timor-Leste,36.29,67.74,66.69,56.8,2128.67,1801.68,30.17,3.3,348.21,
Togo,12.12,59.07,59.43,82.93,2417,1233.83,38.01,7.8,225.6,17.81
Trinidad and Tobago,72.29,70.24,67.45,21.5,2982.33,31012.72,8.94,17.4,275.81,
Tunisia,28.39,75.05,71.58,17.73,3366.33,10120.68,66.1,25.7,285.68,64.49
Turkey,34.46,74.83,71.23,15.87,3690,19660.89,71.28,30.8,242.25,81.09
Turkmenistan,57.5,67.3,66.26,41.8,2844.33,11212.54,48.71,17.4,208.42,
Uganda,12.4,58.61,59.42,67.8,2156,1602.54,14.8,4.8,325.89,30.27
Ukraine,52.58,71.11,66.86,10.7,3158.67,8281.87,68.88,23.4,208.92,
United Arab Emirates,57.51,76.71,72.26,8.13,3240,58404.02,84.38,30.3,257.17,
United Kingdom,82.28,80.97,76.36,4.83,3414.67,36607.98,81.57,26.6,258.8,99.82
United Republic of Tanzania,9.89,62.78,61.96,65.43,2200,2186.13,28.8,7.6,226.81,58.98
United States of America,115.44,78.88,74.44,7.1,3672.67,49790.67,80.94,34.9,242.08,98.82
Uruguay,76.21,76.96,73.13,9.93,3026,17904.75,94.61,27,244.75,89
Uzbekistan,34.36,70.8,68.45,28.7,2728,4470,36.17,15.4,331.57,100
Vanuatu,38.91,71.36,68.48,29.7,2831.67,2915.3,24.89,23.9,213.35,
Venezuela (Bolivarian Republic of),71.59,73.95,70.14,17.37,2708.33,16981.34,88.81,24.8,192.38,91.05
Viet Nam,55.94,75.56,72.42,22.33,2724.67,4715.88,31.03,1.8,204.32,
Yemen,19.76,64.17,63.38,55.07,2220,3805.24,32.3,15.9,229.19,
Zambia,13.25,59.73,59.85,74.93,1920,3361.11,39.15,7.4,197.7,
Zimbabwe,19.8,57.63,56.73,74.33,2169,1667.14,33.02,14.9,225.61,75.59